title,company,location,job_type,sector,min_salary,max_salary,avg_salary,salary_raw,date_posted,url,source
Data Visualization Designer,She Writes Woman,Abuja,Contract,Software & Data,400000.0,600000.0,500000.0,"NGN 400,000 - 600,000",,https://www.jobberman.com/listings/data-visualization-designer-erqxmv,jobberman
Software Developer–Browser Extension,Functional Intelligence Research Lab,Abuja,Contract,Engineering & Technology,,,,Confidential,,https://www.jobberman.com/listings/software-developer-browser-extension-ervezj,jobberman
Admin/Tax specialist,Powertech Intermediary Services International Limited,Port Harcourt & Rivers State,Full Time,Admin & Office,400000.0,600000.0,500000.0,"NGN 400,000 - 600,000",,https://www.jobberman.com/listings/admintax-specialist-rr8e44,jobberman
Executive Assistant/ Chief of Staff,Specifi VA Ltd,Remote (Work From Home),Full Time,Admin & Office,600000.0,900000.0,750000.0,"NGN 600,000 - 900,000",,https://www.jobberman.com/listings/executive-assistant-0k792w,jobberman
School Administrator,Jobberman Nigeria Recruitment,Rest Of Nigeria (Bayelsa),Full Time,Admin & Office,,,,Confidential,,https://www.jobberman.com/listings/school-administrator-erqgpd,jobberman
Operations Coordinator,Anonymous,Remote (Work From Home),Full Time,Admin & Office,250000.0,400000.0,325000.0,"NGN 250,000 - 400,000",,https://www.jobberman.com/listings/operations-coordinator-9k9x27,jobberman
Farm Administrator,Anonymous,Rest Of Nigeria (Delta),Full Time,Admin & Office,150000.0,250000.0,200000.0,"NGN 150,000 - 250,000",,https://www.jobberman.com/listings/farm-administrator-8m577n,jobberman
Hotel & Event Centre Manager,Regal Heights Supreme Hall and Suites,Rest Of Nigeria (Ekiti),Full Time,Management & Business Development,70000.0,150000.0,110000.0,"NGN 70,000 - 150,000",,https://www.jobberman.com/listings/hotel-events-centre-manager-0k745z,jobberman
Business Development Manager- Healthcare,PPC Limited,Rest Of Nigeria (Nationwide),Full Time,Management & Business Development,,,,Confidential,,https://www.jobberman.com/listings/business-development-manager-45nwd5,jobberman
Data Entry Clerk,Avonheli System LTD,Rest Of Nigeria (Osun),Full Time,Software & Data,70000.0,150000.0,110000.0,"NGN 70,000 - 150,000",,https://www.jobberman.com/listings/data-entry-clerk-wrp574,jobberman
